Building,Year,Data_Type,alpha,tau_h,tau_c,beta_h,beta_c,R2,RMSE,CV_RMSE,n_samples
KEA,2022,Weekends,6.1386788713853555,11.034563100496133,19.000000000000004,0.1980453674357415,0.4029571924750101,0.592681694935985,1.0260040905300276,13.844907499445775,104
KEA,2023,Weekends,6.28193568292403,12.47500601391811,20.170753397188022,0.10318889816786686,0.2625265806042622,0.3298970526712929,0.8883769907529078,12.823971728489925,103
KEA,2024,Weekends,6.340406124369434,17.999999999999684,29.998956083405318,0.06759275249273095,1.3198744459008573,0.14027572545223865,1.0500748746566295,15.696137051840456,64
