Building,Year,Data_Type,alpha,tau_h,tau_c,beta_h,beta_c,R2,RMSE,CV_RMSE,n_samples
KEPCO,2020,Weekends,4.944236351378688,16.592099704185795,21.646798087495757,0.23819688787364188,0.08227920003725592,0.7385868414643622,0.7451609847316462,12.680443493656057,74
KEPCO,2021,Weekends,4.905358710937403,17.496359470527782,22.63686052822505,0.1930419712480883,0.12640178606057068,0.7314547132516884,0.8548270246059666,13.697787949954865,103
KEPCO,2022,Weekends,5.175281514775732,15.69924147672997,19.424641674975,0.20460420115219813,0.1640585462173991,0.7627911419120263,0.8117535176730873,12.048094920621946,90
KEPCO,2023,Weekends,5.6064237521608185,16.955035412891903,22.877919317463387,0.18415917898882103,0.18773549620205005,0.669996388839317,0.8814007042333001,12.651380858127444,103
KEPCO,2024,Weekends,6.188657446767597,8.408302496885737,27.271254048164003,0.3878809796340873,0.05888884315962193,0.708436407972656,0.8582394220565435,12.204887926250866,98
KEPCO,2025,Weekends,6.188706364099786,16.874977971802323,23.34717752307476,0.2610564764239449,0.06475026776067697,0.8163616325889452,0.8867930394781697,11.285169851619374,64
