year,day_type,model,n,Tc,Th,Eb,cc,cc1,cc2,ch,ch1,ch2,R2,Adj_R2,CV_RMSE_pct,NMBE_pct,RMSE
all,weekday,Multiplicative curve_fit,631,21.58674988988907,16.95465049795563,43.47406180042455,0.5958812218101821,,,0.13952453345660235,,,0.4941296853366026,0.492518633379076,20.682637887993316,-7.089636098747194,12.534474840918922
all,weekday,Additive curve_fit,631,21.58674988988907,16.95465049795563,43.47406180042455,,1.3049600011396085,2.4529692458366714,,2.4031954643052487,0.11700434569867113,0.6134911700915221,0.6110214651080814,18.07865182695673,-1.8263080343074647,10.956359034563553
all,weekday,Additive Ridge,631,21.58674988988907,16.95465049795563,43.47406180042455,,1.6723169217565594,0.8853386746763628,,2.0762886933305977,0.38617741193273275,0.6085543002967555,0.6060530498194184,18.19374460836552,-1.66535593404939,11.026109691165114
all,weekend,Multiplicative curve_fit,171,25.704978179883042,14.027703084304092,27.675443017397026,0.30082069342115586,,,0.10006282511940728,,,0.5993660772403155,0.5945966257788907,17.657430932943377,-2.8186150939299464,5.969403445855768
all,weekend,Additive curve_fit,171,25.704978179883042,14.027703084304092,27.675443017397026,,2.1382117680737565e-50,2.1846344960920647,,1.2996129660900502,3.8397838085050914e-13,0.6881080034371142,0.6805925336404182,15.579580936527673,-0.007158856497394454,5.266949902320501
all,weekend,Additive Ridge,171,25.704978179883042,14.027703084304092,27.675443017397026,,0.0,2.166064155881917,,1.2996186880240277,0.0,0.6881055834446894,0.6805900553349229,15.57964137795472,-0.022103381364583067,5.266970335602346
