Building,Data_Type,Alpha_BaseLoad_Wh_m2,Tau_h_HeatingCP_C,Tau_c_CoolingCP_C,Beta_h_HeatingSlope,Beta_c_CoolingSlope,R2,RMSE_Wh_m2,CV_RMSE_percent,N_Samples
KEPCO,Weekday,8.77751517001895,16.637575755377206,19.56071027257643,0.4631018859980013,0.3755614057435768,0.8188140147769073,1.4114736537088168,11.502813358065515,1284
KEA,Weekday,8.687403285924377,14.66247011151281,19.000000000000004,0.16035792491466347,0.5638009895874881,0.5008315434588767,1.6156814283857128,15.495731936047562,676
KEPCO,Weekend,5.514129384908762,15.493078363705854,23.41312739081968,0.21809191317005638,0.14081858633769812,0.6605619486057119,1.0185511251721593,15.078500499895627,532
KEA,Weekend,6.298426587972064,11.413174710512251,19.000000000000004,0.13988798914038406,0.21173641794325188,0.2587104996877616,1.1642457175864431,16.498119359308085,271
