year,day_type,model_no,n_vars,variables,n,Tc,Eb,status,Text,R2,Adj_R2,RMSE,CV_RMSE_pct,NMBE_pct,AIC,BIC,n_params,Tint,Text-Tc,Text-Tint,Tint-Tc
2020,weekday,1,1,Text,36,19.85095693,43.521701447312836,OK,0.500071,0.21005301970218238,0.18681928498754063,4.093596545517905,32.93119329947489,1.1663001095229792,103.47852329368715,105.06204223214326,1,,,,
2020,weekday,2,1,Tint,36,19.85095693,43.521701447312836,OK,,0.055836555822948775,0.028067042758917915,4.475377319557618,36.00245260119836,0.36698137337847303,109.89852790821868,111.48204684667479,1,0.47669,,,
2020,weekday,3,1,Text-Tc,36,19.85095693,43.521701447312836,OK,,0.3212088867894839,0.3012444422832923,3.7946711002274287,30.526468869127577,-3.3775683546515993,98.01903731492882,99.60255625338493,1,,2.267513,,
2020,weekday,4,1,Text-Tint,36,19.85095693,43.521701447312836,OK,,-5.364690729541709,-5.5518875157047,11.619694731151004,93.47536060713875,-78.88488568436817,178.59450656672456,180.17802550518067,1,,,9.898842,
2020,weekday,5,1,Tint-Tc,36,19.85095693,43.521701447312836,OK,,0.20230229781717912,0.17884060069415497,4.113630092961928,33.09235442417724,1.1108290106211995,103.8300228548182,105.4135417932743,1,,,,1.988125
2020,weekday,6,2,"Text, Tint",36,19.85095693,43.521701447312836,OK,0.500071,0.21005301970218226,0.16217744513867816,4.093596545517906,32.9311932994749,1.1663000730455866,105.47852329368716,108.64556117059938,2,0.0,,,
2020,weekday,7,2,"Text, Text-Tc",36,19.85095693,43.521701447312836,OK,0.199835,0.3997219139833774,0.36334142392176394,3.568472139558232,28.706797190419138,2.1750086274504334e-08,95.59390230924483,98.76094018615704,2,,1.398038,,
2020,weekday,8,2,"Text, Text-Tint",36,19.85095693,43.521701447312836,OK,0.485008,0.2363428695816444,0.19006061925325923,4.0249016385032865,32.378572825905074,0.8913878533566029,104.26003405117734,107.42707192808956,2,,,1.299659,
2020,weekday,9,2,"Text, Tint-Tc",36,19.85095693,43.521701447312836,OK,0.299402,0.21643524107376488,0.16894646780550826,4.077026304271837,32.797892957971854,1.2722427357765032,105.18648704937796,108.35352492629018,2,,,,0.800316
2020,weekday,10,2,"Tint, Text-Tc",36,19.85095693,43.521701447312836,OK,,0.40896403572189777,0.37314367425049766,3.5408947668764266,28.48494929203,0.18913479368203812,95.03532070327752,98.20235858018974,2,0.164245,1.539657,,
2020,weekday,11,2,"Tint, Text-Tint",36,19.85095693,43.521701447312836,OK,,0.1431630023676821,0.09123348735966286,4.263391070214511,34.29711596718346,0.35969649269850396,108.40467060347432,111.57170848038653,2,0.453181,,2.317146,
2020,weekday,12,2,"Tint, Tint-Tc",36,19.85095693,43.521701447312836,OK,,0.202302297817179,0.15395698253337164,4.113630092961928,33.09235442417724,1.1108289936306335,105.8300228548182,108.99706073173041,2,0.0,,,1.988125
2020,weekday,13,2,"Text-Tc, Text-Tint",36,19.85095693,43.521701447312836,OK,,0.3212088867894838,0.28007003144339193,3.794671100227429,30.526468869127584,-3.377568373935506,100.01903731492882,103.18607519184104,2,,2.267513,0.0,
2020,weekday,14,2,"Text-Tc, Tint-Tc",36,19.85095693,43.521701447312836,OK,,0.440932855377025,0.4070499981271477,3.4438010252430873,27.703872618170273,0.6982783317394261,93.03345836153429,96.2004962384465,2,,1.352634,,0.846688
2020,weekday,15,2,"Text-Tint, Tint-Tc",36,19.85095693,43.521701447312836,OK,,0.2805379831464948,0.23693422454931268,3.906699448716755,31.427687921396487,1.101175066603741,102.11388784638393,105.28092572329615,2,,,2.194612,1.895887
2020,weekday,16,3,"Text, Tint, Text-Tc",36,19.85095693,43.521701447312836,OK,0.0,0.408964035721898,0.3535544140708259,3.540894766876426,28.48494929202999,0.1891347731726124,97.0353207032775,101.78587751864583,3,0.164245,1.539657,,
2020,weekday,17,3,"Text, Tint, Text-Tint",36,19.85095693,43.521701447312836,OK,0.485008,0.23634286958164397,0.16475001360492314,4.024901638503288,32.378572825905096,0.8913878421165123,106.26003405117737,111.0105908665457,3,0.0,,1.299659,
2020,weekday,18,3,"Text, Tint, Tint-Tc",36,19.85095693,43.521701447312836,OK,0.299402,0.2164352410737599,0.14297604492442484,4.0770263042718495,32.79789295797195,1.2722427557080929,107.18648704937819,111.93704386474651,3,0.0,,,0.800316
2020,weekday,19,3,"Text, Text-Tc, Text-Tint",36,19.85095693,43.521701447312836,OK,0.199835,0.39972191398337753,0.34344584341931916,3.5684721395582315,28.70679719041913,-1.8716273906931433e-09,97.59390230924483,102.34445912461315,3,,1.398038,0.0,
