year_key,day_type,Model,n_vars,Variables,n,Text,Tint,Text-Tc,Text-Tint,Tint-Tc,R2,RMSE,CV_RMSE_pct,NMBE_pct
all,weekend,19,3,"Text, Text-Tc, Text-Tint",44,0.123691,,0,0.920232,,0.234749429,2.432020951,58.76274891,-0.758232349
all,weekend,20,3,"Text, Text-Tc, Tint-Tc",44,0.118421,,0.219886,,0,0.140314002,2.577718019,62.28309696,-0.027983191
all,weekend,21,3,"Text, Text-Tint, Tint-Tc",44,0.123691,,,0.920232,0,0.234749429,2.432020951,58.76274891,-0.758232319
all,weekend,22,3,"Tint, Text-Tc, Text-Tint",44,,0.116156,0,1.128818,,0.229836637,2.439815064,58.95107109,-0.73414343
all,weekend,23,3,"Tint, Text-Tc, Tint-Tc",44,,0.098865,0.329162,,0,0.117637849,2.6114933,63.0991789,-0.846717513
all,weekend,24,3,"Tint, Text-Tint, Tint-Tc",44,,0.116156,,1.128818,0,0.229836637,2.439815064,58.95107109,-0.734143403
all,weekend,25,3,"Text-Tc, Text-Tint, Tint-Tc",44,,,0,1.01183,0.669179,0.03388848,2.732619172,66.0258351,-9.524751915
all,weekend,26,4,"Text, Tint, Text-Tc, Text-Tint",44,0.123691,0,0,0.920232,,0.234749429,2.432020951,58.76274891,-0.758232305
all,weekend,27,4,"Text, Tint, Text-Tc, Tint-Tc",44,0.118421,0,0.219886,,0,0.140314002,2.577718019,62.28309696,-0.027983181
all,weekend,28,4,"Text, Tint, Text-Tint, Tint-Tc",44,0.123691,0,,0.920232,0,0.234749429,2.432020951,58.76274891,-0.758232323
all,weekend,29,4,"Text, Text-Tc, Text-Tint, Tint-Tc",44,0.123691,,0,0.920232,0,0.234749429,2.432020951,58.76274891,-0.758232359
all,weekend,30,4,"Tint, Text-Tc, Text-Tint, Tint-Tc",44,,0.116156,0,1.128818,0,0.229836637,2.439815064,58.95107109,-0.734143422
all,weekend,31,5,"Text, Tint, Text-Tc, Text-Tint, Tint-Tc",44,0.123691,0,0,0.920232,0,0.234749429,2.432020951,58.76274891,-0.75823232
