year,day_type,model,n,Tc,Th,Eb,cc,cc1,cc2,ch,ch1,ch2,R2,Adj_R2,CV_RMSE_pct,NMBE_pct,RMSE
all,weekday,Multiplicative curve_fit,634,22.882378885205046,17.697545322586752,55.54582914093224,0.41120317896892544,,,0.17126437022292307,,,0.487140933610143,0.48551538981809905,23.572193157490673,-6.39615295255413,18.34942550584059
all,weekday,Additive curve_fit,634,22.882378885205046,17.697545322586752,55.54582914093224,,0.7935445435882211,2.7774725353369436,,2.754235794247019,0.6488990048694729,0.5875506528920107,0.5849277635622301,21.139089752626457,-1.3441369112975066,16.4554121072029
all,weekday,Additive Ridge,634,22.882378885205046,17.697545322586752,55.54582914093224,,1.5148451285280582,1.2324000352818087,,2.11502460379706,1.0952688888979982,0.5829749408466388,0.5803229531890657,21.256024832736113,-1.2552824930726365,16.546438492705335
