year_key,day_type,Model,n_vars,Variables,n,Text,Tint,Text-Tc,Text-Tint,Tint-Tc,R2,RMSE,CV_RMSE_pct,NMBE_pct
all,weekend,18,3,"Text, Tint, Tint-Tc",28,0.179259,0,,,0,0.088943828,2.950366813,58.2057332,1.190054877
all,weekend,19,3,"Text, Text-Tc, Text-Tint",28,0.125848,,0,1.12093,,0.270732153,2.639653792,52.07589228,-0.707502957
all,weekend,20,3,"Text, Text-Tc, Tint-Tc",28,0.133888,,0.392224,,0,0.152221723,2.846063459,56.14800492,-0.168174673
all,weekend,21,3,"Text, Text-Tint, Tint-Tc",28,0.125848,,,1.12093,0,0.270732153,2.639653792,52.07589228,-0.707502958
all,weekend,22,3,"Tint, Text-Tc, Text-Tint",28,,0.121238,0,1.297857,,0.266204572,2.647835118,52.23729597,-0.76757629
all,weekend,23,3,"Tint, Text-Tc, Tint-Tc",28,,0.121557,0.522821,,0,0.123623958,2.893667892,57.08715965,-0.976229996
all,weekend,24,3,"Tint, Text-Tint, Tint-Tc",28,,0.121238,,1.297857,0,0.266204572,2.647835118,52.23729597,-0.767576306
all,weekend,25,3,"Text-Tc, Text-Tint, Tint-Tc",28,,,0,1.730661,0.883473,-0.127655361,3.282400964,64.75620385,-19.06724999
all,weekend,26,4,"Text, Tint, Text-Tc, Text-Tint",28,0.125848,0,0,1.12093,,0.270732153,2.639653792,52.07589228,-0.707502924
all,weekend,27,4,"Text, Tint, Text-Tc, Tint-Tc",28,0.133888,0,0.392224,,0,0.152221723,2.846063459,56.14800492,-0.168174687
all,weekend,28,4,"Text, Tint, Text-Tint, Tint-Tc",28,0.125848,0,,1.12093,0,0.270732153,2.639653792,52.07589228,-0.707502937
all,weekend,29,4,"Text, Text-Tc, Text-Tint, Tint-Tc",28,0.125848,,0,1.12093,0,0.270732153,2.639653792,52.07589228,-0.707502957
all,weekend,30,4,"Tint, Text-Tc, Text-Tint, Tint-Tc",28,,0.121238,0,1.297857,0,0.266204572,2.647835118,52.23729597,-0.767576296
all,weekend,31,5,"Text, Tint, Text-Tc, Text-Tint, Tint-Tc",28,0.125848,0,0,1.12093,0,0.270732153,2.639653792,52.07589228,-0.707502946
