year,day_type,best_model_no,n_vars,variables,R2,AIC,CV_RMSE_pct,NMBE_pct,ASHRAE_pass
2020,weekday,14,2,"Text-Tc, Tint-Tc",0.4409307193920624,93.03359590371056,27.704642239897975,0.698309425166826,False
2021,weekday,3,1,Text-Tc,0.7891365582101332,66.42174623374633,26.76334767269556,-0.492886072373001,False
2021,weekend,1,1,Text,0.2065500543391816,8.989108948184128,47.37689471190235,2.4216404588644376,False
2023,weekday,14,2,"Text-Tc, Tint-Tc",0.5240904184633257,206.52122788370954,35.35875796284879,1.5459844852277065,False
2024,weekday,3,1,Text-Tc,0.7060784028262667,146.06304944275382,25.50157734694532,-2.280250785538344,False
2024,weekend,11,2,"Tint, Text-Tint",0.3537443068347865,16.789665566411365,45.42514144053291,-1.2400198494216546,False
2025,weekday,14,2,"Text-Tc, Tint-Tc",0.5005990833124794,105.85906156224388,32.88854768746101,1.045412734895698,False
2025,weekend,2,1,Tint,-0.0036219202307965492,13.923275902347534,102.22339162897273,-0.22363320352835436,False
