year_key,day_type,Model,n_vars,Variables,n,Text,Tint,Text-Tc,Tint-Text,Tint-Tc,R2,Adj_R2,RMSE,CV_RMSE_pct,NMBE_pct
all,weekend,14,2,"Text-Tc, Tint-Tc",28,,,1.1853,,0.105348,-0.253459701,-0.353736477,3.460657544,68.27290382,-22.25800466
all,weekend,15,2,"Tint-Text, Tint-Tc",28,,,,0.188019,1.885042,-0.523471133,-0.645348824,3.815228484,75.26798711,-18.62241524
all,weekend,16,3,"Text, Tint, Text-Tc",28,0.133888,0,0.392224,,,0.152221723,0.046249438,2.846063459,56.14800492,-0.168174678
all,weekend,17,3,"Text, Tint, Tint-Text",28,0.179259,0,,0,,0.088943828,-0.024938193,2.950366813,58.2057332,1.190054862
all,weekend,18,3,"Text, Tint, Tint-Tc",28,0.179259,0,,,0,0.088943828,-0.024938193,2.950366813,58.2057332,1.190054877
all,weekend,19,3,"Text, Text-Tc, Tint-Text",28,0.133888,,0.392224,0,,0.152221723,0.046249438,2.846063459,56.14800492,-0.168174671
all,weekend,20,3,"Text, Text-Tc, Tint-Tc",28,0.133888,,0.392224,,0,0.152221723,0.046249438,2.846063459,56.14800492,-0.168174673
all,weekend,21,3,"Text, Tint-Text, Tint-Tc",28,0.179259,,,0,0,0.088943828,-0.024938193,2.950366813,58.2057332,1.19005485
all,weekend,22,3,"Tint, Text-Tc, Tint-Text",28,,0.121557,0.522821,0,,0.123623958,0.014076952,2.893667892,57.08715965,-0.976230005
all,weekend,23,3,"Tint, Text-Tc, Tint-Tc",28,,0.121557,0.522821,,0,0.123623958,0.014076952,2.893667892,57.08715965,-0.976229996
all,weekend,24,3,"Tint, Tint-Text, Tint-Tc",28,,0.181713,,0,0,-0.011568205,-0.138014231,3.108858978,61.3325148,-0.298542854
all,weekend,25,3,"Text-Tc, Tint-Text, Tint-Tc",28,,,1.239516,0.855395,0,-0.14890569,-0.292518902,3.313184549,65.36351175,-15.32388752
all,weekend,26,4,"Text, Tint, Text-Tc, Tint-Text",28,0.133888,0,0.392224,0,,0.152221723,0.004782022,2.846063459,56.14800492,-0.168174664
all,weekend,27,4,"Text, Tint, Text-Tc, Tint-Tc",28,0.133888,0,0.392224,,0,0.152221723,0.004782022,2.846063459,56.14800492,-0.168174687
all,weekend,28,4,"Text, Tint, Tint-Text, Tint-Tc",28,0.179259,0,,0,0,0.088943828,-0.069500723,2.950366813,58.2057332,1.190054837
all,weekend,29,4,"Text, Text-Tc, Tint-Text, Tint-Tc",28,0.133888,,0.392224,0,0,0.152221723,0.004782022,2.846063459,56.14800492,-0.168174683
all,weekend,30,4,"Tint, Text-Tc, Tint-Text, Tint-Tc",28,,0.121557,0.522821,0,0,0.123623958,-0.028789267,2.893667892,57.08715965,-0.976229969
all,weekend,31,5,"Text, Tint, Text-Tc, Tint-Text, Tint-Tc",28,0.133888,0,0.392224,0,0,0.152221723,-0.040455159,2.846063459,56.14800492,-0.168174673
