year,day_type,model,n,Tc,Th,Eb,R2,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,NMBE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,NMBE_Eh
all,weekday,Multiplicative curve_fit,631,21.58674988988907,16.95465049795563,43.47406180042455,0.4941296853366026,234,-0.8053484228745289,12.659081902814036,85.56523135829896,-58.4182820225662,303,0.6159153309891519,10.342660594423435,40.07716619686059,-14.851012207724178
all,weekday,Additive curve_fit,631,21.58674988988907,16.95465049795563,43.47406180042455,0.6134911700915221,234,-0.07359822524008175,9.762085042592226,65.9838581993148,-33.81572379080239,303,0.8187688402353656,7.1045278611457015,27.529603359012228,-0.0031884643535384557
all,weekday,Additive Ridge,631,21.58674988988907,16.95465049795563,43.47406180042455,0.6085543002967555,234,-0.04376802694599524,9.625508655778107,65.06071146359199,-33.89854402614485,303,0.8164459277264775,7.149913684561426,27.705470600464015,0.8206122397285912
all,weekend,Multiplicative curve_fit,171,25.704978179883042,14.027703084304092,27.675443017397026,0.5993660772403155,49,-0.3976061381961984,4.066408994901915,110.9170539451662,-62.740145435730845,69,0.4199211118988855,6.544739907849571,47.47948762934479,-13.935591812740237
all,weekend,Additive curve_fit,171,25.704978179883042,14.027703084304092,27.675443017397026,0.6881080034371142,49,0.011752155666114317,3.41941329165725,93.26933149298571,-43.15133436602311,69,0.648293094398698,5.096116058726531,36.970297181376246,-0.5472552611724482
all,weekend,Additive Ridge,171,25.704978179883042,14.027703084304092,27.675443017397026,0.6881055834446894,49,0.009400766228357393,3.423478868580063,93.38022585098837,-43.63457266661954,69,0.6482931193712916,5.09611587780424,36.97029586885691,-0.5468173908084931
2020,weekday,Mult_curveFit,86,19.85098447,15.71740566,43.522023021861315,0.5817658889235637,40,-2.748718499651978,11.122153467517126,99.416859408628,-80.42983443426739,34,0.6233629746761292,11.756772316044868,41.51234197239685,-17.05430735461636
2020,weekday,Add_curveFit,86,19.85098447,15.71740566,43.522023021861315,0.9136255881646528,40,0.5923024737197918,3.667891723764728,32.785941759621444,-2.1212763892067206,34,0.8983721101389315,6.107072225296784,21.563645518648077,-0.19794247176534016
2020,weekday,Add_Ridge,86,19.85098447,15.71740566,43.522023021861315,0.9136255155428856,40,0.5923154552223229,3.66783332860452,32.78541978665555,-2.0726098868762795,34,0.8983719823095959,6.107076066086651,21.56365908020886,-0.20651655699156973
2021,weekday,Mult_curveFit,112,19.27911258,16.05044146,43.52260322496178,0.7281653154888951,37,-0.7319130315002427,7.186551028546803,80.79355460680922,-61.50320470884687,65,0.6951027301938153,8.459585530908466,36.47877508359239,-13.11735679233176
2021,weekday,Add_curveFit,112,19.27911258,16.05044146,43.52260322496178,0.9054991964882,37,0.808792155082373,2.387868062714619,26.8451929099849,-1.5306226014588067,65,0.8659970764873794,5.608276984678117,24.18358133304325,-0.10805841234039747
2021,weekday,Add_Ridge,112,19.27911258,16.05044146,43.52260322496178,0.9047035019593872,37,0.7979367711333203,2.454715234320252,27.59671065305484,4.214200082182891,65,0.8655491285671835,5.617642899892517,24.22396831338759,0.4927647500991364
2022,weekday,Mult_curveFit,139,29.991323,17.99999995,38.180295945681344,0.578089512876037,3,,,,,66,0.5355647165015915,11.122635159735346,39.30197417771402,-19.21818874335324
2022,weekday,Add_curveFit,139,29.991323,17.99999995,38.180295945681344,0.6578255726850247,3,,,,,66,0.8382395632475161,6.564191528637195,23.194655066093773,0.7445353480885147
2022,weekday,Add_Ridge,139,29.991323,17.99999995,38.180295945681344,0.6578255726850522,3,,,,,66,0.8382395632476201,6.564191528635086,23.19465506608632,0.7445260870463472
2023,weekday,Mult_curveFit,114,19.00000001,17.47178462,46.05373226619237,0.2583571462434402,58,-1.165779219650049,12.90020268548355,78.54556314962386,-53.11255000844211,48,0.6008767687146721,9.093225524242444,41.12935489304492,-13.039205492178821
2023,weekday,Add_curveFit,114,19.00000001,17.47178462,46.05373226619237,0.7501084562192741,58,0.5108897578828258,6.130456586719878,37.32655809432226,-1.6645244762067155,48,0.7840504371880159,6.688683149230767,30.253425726484462,-0.02205431174464548
2023,weekday,Add_Ridge,114,19.00000001,17.47178462,46.05373226619237,0.7501008104030885,58,0.5108786460972312,6.13052622330324,37.326982091122105,-1.810113075441874,48,0.7840403233345616,6.6888397773995045,30.254134167677428,-0.09745366800178025
2024,weekday,Mult_curveFit,120,19.00000005,17.99999536,44.000373756052404,0.6129532382323706,49,-0.08010942217585759,10.046338211074888,57.00988696308132,-31.198144069479444,67,0.6342015056170265,9.592249478520904,32.070451445721226,-10.782742529518966
2024,weekday,Add_curveFit,120,19.00000005,17.99999536,44.000373756052404,0.8473056332649236,49,0.7680171375395837,4.655880969873048,26.42069600179473,-1.8806144543860384,67,0.827785484536745,6.581643970929226,22.00487944724066,-0.5780344441464308
2024,weekday,Add_Ridge,120,19.00000005,17.99999536,44.000373756052404,0.8455421984894251,49,0.7623030109515626,4.712873225707629,26.744109567477665,-3.7090882592402425,67,0.8272610223831561,6.591658222951138,22.038360809871303,-0.07265258431811979
2025,weekday,Mult_curveFit,60,19.00000005,14.92092085,49.62459982450291,0.5400763273170543,35,-0.9529243053626335,9.274101446770883,70.20435795741258,-41.164632715699604,19,0.5550266519672132,11.113464759665444,41.79350702029719,-11.308340544695069
2025,weekday,Add_curveFit,60,19.00000005,14.92092085,49.62459982450291,0.7473299401656778,35,0.41218082925774047,5.088045775098164,38.51618282901849,-6.09862620479907,19,0.6710122613434104,9.555916210921934,35.93616031392898,1.6420636357995562
2025,weekday,Add_Ridge,60,19.00000005,14.92092085,49.62459982450291,0.7473291652572006,35,0.4121649392434107,5.088114545034504,38.51670341306162,-6.157102493771397,19,0.6711224779260039,9.554315378229564,35.93014019204857,1.6295699567750672
2020,weekend,Mult_curveFit,24,27.82225786,17.99999996,27.22030534788214,0.6693266791997132,2,,,,,7,0.4396480953255638,3.8629505866803755,43.827833891982756,-16.92964777408701
