year,day_type,model,n,Tc,Th,Eb,cc,cc1,cc2,ch,ch1,ch2,R2,Adj_R2,CV_RMSE_pct,NMBE_pct,RMSE,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,NMBE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,NMBE_Eh
all,weekday,Multiplicative curve_fit,631,21.58674988988907,16.95465049795563,43.47406180042455,0.5958812218101821,,,0.13952453345660235,,,0.4941296853366026,0.492518633379076,20.682637887993316,-7.089636098747194,12.534474840918922,234,-0.8053484228745289,12.659081902814036,85.56523135829896,-58.4182820225662,303,0.6159153309891519,10.342660594423435,40.07716619686059,-14.851012207724178
all,weekday,Additive curve_fit,631,21.58674988988907,16.95465049795563,43.47406180042455,,1.3049600011396085,2.4529692458366714,,2.4031954643052487,0.11700434569867113,0.6134911700915221,0.6110214651080814,18.07865182695673,-1.8263080343074647,10.956359034563553,234,-0.07359822524008175,9.762085042592226,65.9838581993148,-33.81572379080239,303,0.8187688402353656,7.1045278611457015,27.529603359012228,-0.0031884643535384557
all,weekday,Additive Ridge,631,21.58674988988907,16.95465049795563,43.47406180042455,,1.6723169217565594,0.8853386746763628,,2.0762886933305977,0.38617741193273275,0.6085543002967555,0.6060530498194184,18.19374460836552,-1.66535593404939,11.026109691165114,234,-0.04376802694599524,9.625508655778107,65.06071146359199,-33.89854402614485,303,0.8164459277264775,7.149913684561426,27.705470600464015,0.8206122397285912
all,weekend,Multiplicative curve_fit,171,25.704978179883042,14.027703084304092,27.675443017397026,0.30082069342115586,,,0.10006282511940728,,,0.5993660772403155,0.5945966257788907,17.657430932943377,-2.8186150939299464,5.969403445855768,49,-0.3976061381961984,4.066408994901915,110.9170539451662,-62.740145435730845,69,0.4199211118988855,6.544739907849571,47.47948762934479,-13.935591812740237
all,weekend,Additive curve_fit,171,25.704978179883042,14.027703084304092,27.675443017397026,,2.1382117680737565e-50,2.1846344960920647,,1.2996129660900502,3.8397838085050914e-13,0.6881080034371142,0.6805925336404182,15.579580936527673,-0.007158856497394454,5.266949902320501,49,0.011752155666114317,3.41941329165725,93.26933149298571,-43.15133436602311,69,0.648293094398698,5.096116058726531,36.970297181376246,-0.5472552611724482
all,weekend,Additive Ridge,171,25.704978179883042,14.027703084304092,27.675443017397026,,0.0,2.166064155881917,,1.2996186880240277,0.0,0.6881055834446894,0.6805900553349229,15.57964137795472,-0.022103381364583067,5.266970335602346,49,0.009400766228357393,3.423478868580063,93.38022585098837,-43.63457266661954,69,0.6482931193712916,5.09611587780424,36.97029586885691,-0.5468173908084931
