year,day_type,model,n,Tc,Th,Eb,R2,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,NMBE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,NMBE_Eh
all,weekday,Multiplicative curve_fit,634,22.882378885205046,17.697545322586752,55.54582914093224,0.487140933610143,265,-0.3460663165618463,15.95788385348199,88.1396323721715,-51.284248033869886,285,0.537291256526748,15.94308592131232,43.558934052110466,-17.146472770000262
all,weekday,Additive curve_fit,634,22.882378885205046,17.697545322586752,55.54582914093224,0.5875506528920107,265,-0.03940822249457954,14.02281309360695,77.45172243652492,-37.43811130596363,285,0.7786549655178486,11.02689972923352,30.12716612552641,0.387128570902365
all,weekday,Additive Ridge,634,22.882378885205046,17.697545322586752,55.54582914093224,0.5829749408466388,265,-0.016767044536999176,13.869244428597618,76.60352189802717,-38.052515190610556,285,0.7759575547328974,11.09388566278615,30.31018187771135,1.0901116281323784
2020,weekday,Mult_curveFit,85,23.49994861,17.99999999,61.53521647201813,0.5242781479918269,42,-0.6584673447460625,15.400526291207552,89.57757174109926,-49.97673499558826,31,0.5094332495422823,17.11071552505282,45.34013778416329,-20.070242548134377
2020,weekday,Add_curveFit,85,23.49994861,17.99999999,61.53521647201813,0.7640037223157409,42,0.25122778418156877,10.348012880686834,60.18949279199355,-9.753174457256529,31,0.8455580858903738,9.600673579915213,25.439956750890364,-0.6952962371756126
2020,weekday,Add_Ridge,85,23.49994861,17.99999999,61.53521647201813,0.7628859283614292,42,0.24848664693490985,10.366936800472327,60.29956427592561,-11.21574544436529,31,0.8411714429134445,9.73606380886839,25.79871507554245,-0.8489878131154323
2021,weekday,Mult_curveFit,114,21.50182308,17.16029476,55.40492204607521,0.709827053474474,35,-0.16259811564749826,8.335458261235695,64.385022539481,-42.531826428143546,68,0.638555584321199,13.113689149202914,42.339870947633926,-14.322704963855253
2021,weekday,Add_curveFit,114,21.50182308,17.16029476,55.40492204607521,0.8583973457926815,35,0.7090627410657999,4.169791552950463,32.20844190057203,-2.4621073108506346,68,0.8109802432066956,9.48326147451247,30.618391394303572,-0.6829873904176075
2021,weekday,Add_Ridge,114,21.50182308,17.16029476,55.40492204607521,0.8581238359466707,35,0.7013654485285175,4.224591301680356,32.631727933151716,-4.317824357759106,68,0.810979356715671,9.483283712442692,30.618463193404878,-0.706637018557318
2022,weekday,Mult_curveFit,139,28.99266193,17.99999997,46.58000448147906,0.5952438002546061,14,0.0,1.780385577681865e-32,1.780385577681865e-30,1.2804217821777908e-30,62,0.4718527628689283,18.087483743120156,41.499324203378144,-21.936513748704712
2022,weekday,Add_curveFit,139,28.99266193,17.99999997,46.58000448147906,0.6963110875321207,14,0.0,3.2867655345084796e-29,3.28676553450848e-27,2.8033798404853487e-27,62,0.8652460261562639,9.136322859683442,20.96207685742656,0.1273072659241871
2022,weekday,Add_Ridge,139,28.99266193,17.99999997,46.58000448147906,0.6963110875321068,14,1.0,0.0,0.0,0.0,62,0.8652460261562098,9.136322859685277,20.962076857430766,0.12730787382384026
2023,weekday,Mult_curveFit,114,20.3266667,17.99999997,58.49316039969078,0.40366551362199343,66,-0.21633758448322737,14.775462010672337,82.70514226645285,-43.762839453267624,43,0.4382469726539884,15.44289516620306,48.283074866128196,-18.07596212106113
2023,weekday,Add_curveFit,114,20.3266667,17.99999997,58.49316039969078,0.638005854542302,66,0.3373288654040332,10.905938218626492,61.0456154446575,-4.957579096980423,43,0.7000607460121688,11.284249133991992,35.280835612804125,-1.018675551759349
2023,weekday,Add_Ridge,114,20.3266667,17.99999997,58.49316039969078,0.6349406647717679,66,0.33074481976219117,10.959982913374699,61.34812877146034,-8.004078787903959,43,0.7004311666457467,11.277279039230555,35.259043221962344,-0.08983913780681303
2024,weekday,Mult_curveFit,122,21.07790769,17.99999936,56.43729720768083,0.6104984965862884,51,-0.08798994704335206,13.567376903854928,60.34119265351847,-27.35963671399096,61,0.5301175965798153,14.839037712806785,35.75967522728628,-13.270566259531419
2024,weekday,Add_curveFit,122,21.07790769,17.99999936,56.43729720768083,0.7666374495435837,51,0.43925954007728063,9.740121972094082,43.31939626589899,-6.761212763598576,61,0.8032318821170518,9.602592815597841,23.14069194185641,-0.9752983141343194
2024,weekday,Add_Ridge,122,21.07790769,17.99999936,56.43729720768083,0.7665012924168859,51,0.430286505896342,9.817743958904758,43.66462167634373,-7.447572225509193,61,0.8031492688181266,9.604608433345234,23.145549253861684,-0.9769090442527828
2025,weekday,Mult_curveFit,60,19.0,16.39950364,60.686833235825425,0.4662125003330998,38,-0.45394936261756014,14.11846460885976,81.63447150026201,-39.57188311152107,19,0.5153576802360178,16.839639125465165,47.66451521666886,-12.912901685611509
2025,weekday,Add_curveFit,60,19.0,16.39950364,60.686833235825425,0.6299566034547934,38,0.2842108148439142,9.906161294344672,57.2784834799037,-7.191631745812685,19,0.6369340757696933,14.57521124337818,41.25506330154043,4.231127506630843
2025,weekday,Add_Ridge,60,19.0,16.39950364,60.686833235825425,0.6299343806839357,38,0.2840982066492953,9.906940484008505,57.282988837828064,-7.4339531712692395,19,0.6378426618932616,14.556962312047009,41.20340979170914,4.2206748779574665
