year,day_type,model,n,Tc,Th,Eb,cc,cc1,cc2,ch,ch1,ch2,R2,Adj_R2,CV_RMSE_pct,NMBE_pct,RMSE
all,weekday,Multiplicative curve_fit,628,22.188793109713377,14.252382970780255,33.96249557587754,1.2706286486759875,,,0.09129038383578301,,,0.420976086526041,0.4191232100029243,19.53202088752084,-4.867386916562514,8.24390486214764
all,weekday,Additive curve_fit,628,22.188793109713377,14.252382970780255,33.96249557587754,,0.9749134880600203,4.3452014680147295,,1.2000623458470543,0.1939829911572837,0.47282539488026354,0.4694406462117581,18.637007097193827,-1.0002708054998373,7.866145254974571
all,weekday,Additive Ridge,628,22.188793109713377,14.252382970780255,33.96249557587754,,1.2143096498117985,0.4046389413758049,,1.0963339179225255,0.27144091369470974,0.4603579250948241,0.45689312846621943,18.85609821566072,-1.2611822270643216,7.958617321597053
all,weekend,Multiplicative curve_fit,171,25.704978179883042,14.027703084304092,27.675443017766938,0.3008206942348767,,,0.10006282514325933,,,0.5993660772482414,0.594596625786911,17.657430932768715,-2.8186150863284776,5.96940344579672
all,weekend,Additive curve_fit,171,25.704978179883042,14.027703084304092,27.675443017766938,,5e-324,2.184634501881372,,1.2996129663823848,3.9843266102923033e-13,0.6881080034371343,0.6805925336404388,15.579580936527174,-0.007158847041003222,5.2669499023203326
all,weekend,Additive Ridge,171,25.704978179883042,14.027703084304092,27.675443017766938,,0.0,2.166064155705358,,1.2996186879940304,0.0,0.6881055834447056,0.6805900553349395,15.579641377954315,-0.02210338079083585,5.266970335602208
