Building,Year,Data_Type,alpha,tau_h,tau_c,beta_h,beta_c,R2,RMSE,CV_RMSE,n_samples
KEPCO,2020,Weekdays,8.296483418459362,17.20899192692044,19.7189944385191,0.46184110069521256,0.47254335090801985,0.8277459315362657,1.203767192471946,10.650029163323374,179
KEPCO,2021,Weekdays,8.528819825753006,16.605855811237966,20.660543038207496,0.447301204947757,0.312752255708621,0.8611180160525036,1.175529256593191,10.052056380052894,247
KEPCO,2022,Weekdays,8.72568363168087,14.73068864867112,19.75031423440638,0.4814502395038684,0.3497865257321849,0.9001141790718159,1.1299208354448225,9.405805711912276,213
KEPCO,2023,Weekdays,9.025517102240649,17.999999999999996,19.000007809977312,0.418413882063257,0.39902728415062866,0.7574981740081068,1.57242485712632,12.369316816084778,246
KEPCO,2024,Weekdays,8.7478157903272,17.962605626444862,19.000000000000206,0.46614114014537955,0.39059952242680895,0.8339700406889052,1.2821036511675263,10.038041134972593,242
KEPCO,2025,Weekdays,9.306203018966716,15.768591464602508,19.000000000000004,0.5180682402385816,0.30646937830114956,0.8609578228258687,1.340856538383009,10.185149876328722,157
KEA,2022,Weekdays,9.287869545074198,11.695833687897402,19.000000000090818,0.19085694581696921,0.6606305900761652,0.639944050626517,1.4024778484202638,12.710861573803026,259
KEA,2023,Weekdays,8.052906717193409,17.92013247388584,19.157447651596417,0.1580296228301272,0.690149680608276,0.6012880832165026,1.3794306374999181,13.652866420762777,256
KEA,2024,Weekdays,8.315834917707441,14.761432333985406,19.812527440718124,0.15582274466029084,0.46508416405254144,0.4151743514768289,1.6415897349230086,16.47577905776106,161
