year,day_type,model,n,Tc,Th,Eb,R2,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,NMBE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,NMBE_Eh
2020,weekend,Add_curveFit,24,27.82225786,17.99999996,27.220305348245972,0.749438410093043,2,,,,,7,0.7307820064551641,2.67756959772703,30.37887048643147,1.6421372307554707
2020,weekend,Add_Ridge,24,27.82225786,17.99999996,27.220305348245972,0.7494383205005375,2,,,,,7,0.7307817153303764,2.677571045450973,30.378886911856302,1.6334476221103245
2021,weekend,Mult_curveFit,46,24.57154931,17.59637428,26.26786800457773,0.669910391589739,8,-0.3262342817875621,2.75128886133592,97.07272716111663,-65.43692298701573,28,0.4604127945155906,7.309263243954857,51.39816073196971,-18.30844175671713
2021,weekend,Add_curveFit,46,24.57154931,17.59637428,26.26786800457773,0.7933754529938825,8,0.3808024313468321,1.8799257050147666,66.32873690967453,-25.946141873181972,28,0.6672378239159635,5.739971810393469,40.363027552958776,-0.3106651809821549
2021,weekend,Add_Ridge,46,24.57154931,17.59637428,26.26786800457773,0.7648773898842216,8,-0.8856137621191484,3.2805936100012953,115.74799466004755,-88.14319246136856,28,0.6385766684667716,5.982061507220525,42.06538314390863,-4.1172836621319675
2022,weekend,Mult_curveFit,41,29.01724665,9.541993656,25.465032961033526,0.5668368980189973,4,,,,,12,0.5652352464616,5.6692909340694095,35.44214033197595,-6.176586600448911
2022,weekend,Add_curveFit,41,29.01724665,9.541993656,25.465032961033526,0.5845179597742398,4,,,,,12,0.6592287938094884,5.019182948946399,31.377925122768314,2.326409424634252
2022,weekend,Add_Ridge,41,29.01724665,9.541993656,25.465032961033526,0.584392082289279,4,,,,,12,0.658559621815946,5.024108613657439,31.40871840925637,2.144084141545646
2023,weekend,Mult_curveFit,20,29.99999997,17.99999998,30.880778862373198,0.6282724873899208,2,,,,,9,-0.7172211593242763,4.535941081565623,42.413962114240405,-6.605978183880177
2023,weekend,Add_curveFit,20,29.99999997,17.99999998,30.880778862373198,0.7373948131840906,2,,,,,9,0.015925845716045828,3.4337462806894377,32.107732891628984,-1.031163213972736
2023,weekend,Add_Ridge,20,29.99999997,17.99999998,30.880778862373198,0.6734069352632541,2,,,,,9,-0.008439018200192994,3.4759947324851725,32.502783048063364,-3.15306425258452
2024,weekend,Mult_curveFit,29,19.00000017,9.09264856,29.50226054914971,0.7538526113221925,15,-0.12558119507718546,2.738121972854067,94.83556485367568,-36.92831686060701,12,0.4533920480118009,5.314028607117656,35.704984649480565,-7.296420332968623
2024,weekend,Add_curveFit,29,19.00000017,9.09264856,29.50226054914971,0.8386110794106866,15,0.1169735075469277,2.4252205675771963,83.99814350899752,-21.525033663985347,12,0.6856267086776457,4.03003424230391,27.07782012419194,0.00042172985887610514
2024,weekend,Add_Ridge,29,19.00000017,9.09264856,29.50226054914971,0.8114735664782006,15,-0.010764959168567456,2.594713818709274,89.86858623191313,-20.28167730371488,12,0.6311056445840457,4.365529429436916,29.33201395568807,-1.5303632387632655
