year,day_type,model,n,Tc,Th,Eb,cc,cc1,cc2,ch,ch1,ch2,R2,Adj_R2,CV_RMSE_pct,NMBE_pct,RMSE,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,NMBE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,NMBE_Eh
all,weekday,Multiplicative curve_fit,628,22.188793109713377,14.252382970780255,33.96249557587754,1.2706286486759875,,,0.09129038383578301,,,0.420976086526041,0.4191232100029243,19.53202088752084,-4.867386916562514,8.24390486214764,188,-0.8308009451090264,8.635477132362904,104.89810356182025,-70.93710137715182,293,0.47788921694742414,7.409185129059212,54.97433759788216,-12.94628516409759
all,weekday,Additive curve_fit,628,22.188793109713377,14.252382970780255,33.96249557587754,,0.9749134880600203,4.3452014680147295,,1.2000623458470543,0.1939829911572837,0.47282539488026354,0.4694406462117581,18.637007097193827,-1.0002708054998373,7.866145254974571,188,-0.1410718418288126,6.817454823025719,82.81396280625682,-41.23706153314805,293,0.5472271098180352,6.899685937414247,51.19397847883626,1.3706520045301547
all,weekday,Additive Ridge,628,22.188793109713377,14.252382970780255,33.96249557587754,,1.2143096498117985,0.4046389413758049,,1.0963339179225255,0.27144091369470974,0.4603579250948241,0.45689312846621943,18.85609821566072,-1.2611822270643216,7.958617321597053,188,-0.1657748839082216,6.8908551628436285,83.7055819177054,-44.643814282769966,293,0.5466383236947518,6.904170657658594,51.22725400380293,0.954530146146322
all,weekend,Multiplicative curve_fit,171,25.704978179883042,14.027703084304092,27.675443017766938,0.3008206942348767,,,0.10006282514325933,,,0.5993660772482414,0.594596625786911,17.657430932768715,-2.8186150863284776,5.96940344579672,49,-0.3976061376137374,4.066408993930903,110.91705392690274,-62.740145332180774,69,0.4199211119179448,6.544739907728953,47.47948762970696,-13.935591789982357
all,weekend,Additive curve_fit,171,25.704978179883042,14.027703084304092,27.675443017766938,,5e-324,2.184634501881372,,1.2996129663823848,3.9843266102923033e-13,0.6881080034371343,0.6805925336404388,15.579580936527174,-0.007158847041003222,5.2669499023203326,49,0.011752156428269767,3.419413290234706,93.26933146109785,-43.1513342111593,69,0.6482930944008021,5.096116058701086,36.970297182155015,-0.5472552362089877
all,weekend,Additive Ridge,171,25.704978179883042,14.027703084304092,27.675443017766938,,0.0,2.166064155705358,,1.2996186879940304,0.0,0.6881055834447056,0.6805900553349395,15.579641377954315,-0.02210338079083585,5.266970335602208,49,0.009400766255178383,3.423478868429607,93.38022585380673,-43.634572667035634,69,0.6482931193719855,5.096115877789012,36.9702958697098,-0.5468173905125049
