year,day_type,n,Tc,Th,Eb,model,cc,ch,R2,RMSE,CV_RMSE_pct,n_Ec,R2_Ec,RMSE_Ec,CV_RMSE_Ec,n_Eh,R2_Eh,RMSE_Eh,CV_RMSE_Eh,cc1,cc2,ch1,ch2,alpha
2021,weekend,46,24.57154931,17.59637428,26.267868,Add_Ridge,,,0.76487739,4.981541087,14.12713074,8,-0.885613762,3.28059361,115.7479947,28,0.638576668,5.982061507,42.06538314,0.13962411,0.037442949,0.848816035,0.284874261,500
2022,weekend,41,29.01724665,9.541993656,25.46503296,Mult_curveFit,3.63E-29,0.163184818,0.566836898,7.058637062,23.41425705,4,,,,12,0.565235246,5.669290934,35.44214033,,,,,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_curveFit,,,0.58451796,6.913074741,22.93141121,4,,,,12,0.659228794,5.019182949,31.37792512,5e-324,5e-324,1.783966358,0.302294139,
2022,weekend,41,29.01724665,9.541993656,25.46503296,Add_Ridge,,,0.584392082,6.91412188,22.93488468,4,,,,12,0.658559622,5.024108614,31.40871841,0,0,1.704684299,0.346284449,5
2023,weekend,20,29.99999997,17.99999998,30.88077886,Mult_curveFit,4.433810895,0.07168387,0.628272487,3.668269767,10.15276982,2,,,,9,-0.717221159,4.535941082,42.41396211,,,,,
2023,weekend,20,29.99999997,17.99999998,30.88077886,Add_curveFit,,,0.737394813,3.083191951,8.533434067,2,,,,9,0.015925846,3.433746281,32.10773289,8.024952211,1.72E-11,0.706667155,3.06E-13,
2023,weekend,20,29.99999997,17.99999998,30.88077886,Add_Ridge,,,0.673406935,3.438368289,9.516465259,2,,,,9,-0.008439018,3.475994732,32.50278305,0.119563325,0.28641911,0.649270532,0.068563745,50
2024,weekend,29,19.00000017,9.09264856,29.50226055,Mult_curveFit,0.207845039,0.168029299,0.753852611,4.040892001,10.94885919,15,-0.125581195,2.738121973,94.83556485,12,0.453392048,5.314028607,35.70498465,,,,,
2024,weekend,29,19.00000017,9.09264856,29.50226055,Add_curveFit,,,0.838611079,3.272024037,8.865599587,15,0.116973508,2.425220568,83.99814351,12,0.685626709,4.030034242,27.07782012,0.093410672,1.727918401,1.993176197,3.52E-21,
2024,weekend,29,19.00000017,9.09264856,29.50226055,Add_Ridge,,,0.811473566,3.536435593,9.582026774,15,-0.010764959,2.594713819,89.86858623,12,0.631105645,4.365529429,29.33201396,0.253986086,0.203585137,1.404265576,0.39315903,50
